flight_nbr,flight_time,flight_lat,flight_long
AC527,1679361905,43.8519,-91.3151
AC549,1679361905,45.5064,-95.2771
AC337,1679361904,48.4605,-82.3496
AC543,1679361906,46.7839,-95.6597
AC357,1679361903,51.1312,-114.0124
AC323,1679361904,51.1291,-114.0092
AC61,1679364791,53.5328,172.3979
AC43,1679364798,50.6421,17.007
AC9,1679364795,58.6607,-171.7659
AC776,1679364795,45.457,-73.7539
AC63,1679364799,45.5141,165.2599
AC51,1679364797,44.652,27.095
AC585,1679364798,51.1316,-113.9956
AC765,1679364797,39.5467,-111.5503
AC791,1679364798,33.9394,-118.4182
AC959,1679364797,11.4222,-84.2695
AC3,1679364799,55.7012,177.8218
AC741,1679364795,38.0013,-118.5962
AC987,1679364797,48.626,-107.6466
AC80,1679364799,52.1875,-22.3172
AC121,1679364797,49.5052,-122.0881
AC57,1679364797,44.2597,27.1938
AC125,1679364797,49.6805,-120.6603
AC8815,1679364798,33.097,-97.025
AC345,1679364797,49.7473,-119.2354
AC781,1679364798,42.3354,-99.4862
AC971,1679364795,42.6911,-117.2548
AC120,1679364797,45.1641,-81.4685
AC527,1679364798,42.447,-98.221
AC549,1679364796,46.8169,-102.8484
AC337,1679364797,50.9919,-89.9752
AC543,1679364797,47.205,-103.2689
AC357,1679364795,51.1312,-114.0124
AC323,1679364789,51.1291,-114.0092
AC694,1679364798,47.6139,-52.7432
AC61,1679365091,53.2824,171.4471
AC43,1679365087,50.9981,16.2589
AC9,1679365091,58.4247,-172.882
AC776,1679365086,45.457,-73.7539
AC63,1679365087,45.2776,164.5253
AC51,1679365089,45.0525,26.461
AC585,1679365073,51.1305,-113.9983
AC765,1679365088,39.3824,-112.1967
AC791,1679365087,33.9401,-118.4019
AC959,1679365089,10.8372,-84.3968
AC3,1679365087,55.4803,176.8597
AC741,1679365089,37.9174,-119.1166
AC987,1679365088,48.9106,-108.3781
AC80,1679365091,52.0611,-21.156
AC121,1679365090,49.2855,-122.5471
AC57,1679365087,44.7551,26.6908
AC125,1679365090,49.5981,-121.3663
AC8815,1679365087,32.9224,-97.026
AC345,1679365090,49.6822,-120.1449
AC781,1679365090,42.2058,-100.2203
AC971,1679365088,43.1833,-117.6818
AC120,1679365089,44.7182,-80.8882
AC527,1679365090,42.2808,-98.8977
AC549,1679365088,46.937,-103.6417
AC337,1679365088,51.1579,-90.812
AC543,1679365088,47.2615,-104.0633
AC357,1679365086,51.1312,-114.0124
AC323,1679365089,51.1291,-114.0092
AC694,1679365088,47.6139,-52.7432
AC61,1679367047,47.9111,171.7039
AC43,1679367043,53.118,11.1304
AC9,1679367039,56.7859,-179.7492
AC63,1679367043,44.284,159.2525
AC51,1679367045,47.6021,22.0438
AC765,1679367043,38.3814,-116.3514
AC3,1679367043,53.7846,170.6247
AC741,1679367045,37.5965,-122.3161
AC987,1679367046,50.6729,-113.3007
AC80,1679367045,51.6838,-13.4496
AC57,1679367045,47.1455,22.0868
AC345,1679367044,49.1958,-123.1823
AC781,1679367043,41.2096,-104.9044
AC971,1679367045,46.5374,-120.7994
AC527,1679367045,40.9627,-103.2731
AC549,1679367046,47.6078,-109.1412
AC337,1679367046,52.0972,-96.6116
AC543,1679367044,47.4989,-109.4957
AC357,1679367043,51.1312,-114.0124
AC323,1679367042,51.1291,-114.0092
AC694,1679367045,47.6139,-52.7432
